scheme_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr,returns_10yr
ICICI Pru Regular Savings Fund,5.0,Hybrid,Conservative Hybrid Mutual Funds,5.5,11.3,9.0,9.54
ICICI Pru Income Optimizer Fund,5.0,Other,FoFs Domestic,7.8,13.3,8.8,10.83
ICICI Pru BHARAT 22 FOF  – Direct Growth,5.0,Other,FoFs Domestic,22.1,35.0,10.9,11.34
SBI Banking & Financial Services Fund,5.0,Equity,Sectoral / Thematic Mutual Funds,5.5,22.4,12.5,14.82
Edelweiss Govt Securities Fund,5.0,Debt,Gilt Mutual Funds,4.3,6.8,8.2,8.2
SBI Magnum Gilt Fund,5.0,Debt,Gilt Mutual Funds,5.7,6.1,8.3,8.2
ICICI Pru Gilt Fund,5.0,Debt,Gilt Mutual Funds,6.3,6.7,8.4,8.33
ICICI Pru All Seasons Bond Fund,5.0,Debt,Dynamic Bond,6.5,7.5,8.2,8.92
Baroda BNP Paribas Credit Risk Fund,5.0,Debt,Credit Risk Funds,5.7,10.9,7.6,4.21
Nippon India GSF – Dir-Defined Maturity Date,5.0,Debt,Gilt Mutual Funds,4.4,5.5,8.3,8.2
Bandhan Banking & PSU Debt Fund,5.0,Debt,Banking and PSU Mutual Funds,4.5,6.9,7.6,7.96
ICICI Pru Banking & PSU Debt Fund,5.0,Debt,Banking and PSU Mutual Funds,5.8,6.9,7.2,7.89
ICICI Pru Corporate Bond Fund,5.0,Debt,Corporate Bond Mutual Funds,5.8,7.0,7.3,7.33
Tata Dynamic Bond Fund,5.0,Debt,Dynamic Bond,1.7,32.4,13.3,10.41
Sundaram Balanced Advantage Fund,5.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.9,11.9,7.2,9.04
Nippon India Corporate Bond Fund,5.0,Debt,Corporate Bond Mutual Funds,5.1,6.8,7.0,7.19
Nippon India Corporate Bond Fund,5.0,Debt,Corporate Bond Mutual Funds,5.1,6.8,7.0,7.19
AXIS Corporate Debt Fund,5.0,Debt,Corporate Bond Mutual Funds,4.9,7.5,7.3,7.21
Aditya Birla SL Floating Rate Fund,5.0,Debt,Floater Mutual Funds,5.8,6.4,6.8,7.19
Tata Money Market Fund,5.0,Debt,Money Market Funds,5.7,5.6,4.8,5.97
Aditya Birla SL Medium Term Plan – Direct Growth,5.0,Debt,Medium Duration Funds,22.1,14.5,8.6,7.88
Nippon India Money Market Fund,5.0,Debt,Money Market Funds,5.7,5.3,6.3,6.9
Tata Arbitrage Fund,5.0,Hybrid,Arbitrage Mutual Funds,5.7,5.0,10.9,7.5
UTI-Bond Fund,5.0,Debt,Medium to Long Duration Funds,12.0,10.4,4.4,5.6
Edelweiss Arbitrage Fund,5.0,Hybrid,Arbitrage Mutual Funds,5.8,5.0,5.7,6.95
Quant Liquid Plan – Direct Growth,5.0,Debt,Liquid Mutual Funds,5.6,4.9,5.9,5.78
Nippon India USD Fund,5.0,Debt,Ultra Short Duration Funds,5.9,7.0,5.9,6.43
Invesco India Arbitrage Fund,5.0,Hybrid,Arbitrage Mutual Funds,6.4,5.0,5.6,6.88
UTI-Ultra Short Term Fund,5.0,Debt,Ultra Short Duration Funds,5.4,6.1,5.7,6.41
Aditya Birla SL Dynamic Bond Fund,5.0,Debt,Dynamic Bond,7.5,8.0,6.0,8.52
UTI-Short Term Income Fund,5.0,Debt,Short Duration Funds,5.0,8.5,5.4,5.1
Mahindra Manulife Liquid Fund,5.0,Debt,Liquid Mutual Funds,5.7,4.5,5.4,5.5
Baroda BNP Paribas Liquid Fund,5.0,Debt,Liquid Mutual Funds,5.7,4.4,5.4,5.39
Sundaram Short Duration Fund,5.0,Debt,Short Duration Funds,4.8,6.4,4.8,5.03
UTI-Treasury Advantage Fund,5.0,Debt,Low Duration Funds,5.2,7.3,4.8,5.53
Bank of India Short Term Income – Direct Growth,5.0,Debt,Short Duration Funds,28.3,8.8,4.0,5.03
Bank of India Credit Risk Fund,5.0,Debt,Credit Risk Funds,130.8,12.8,-4.1,4.41
HSBC Overnight Fund,5.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.81
Parag Parikh Tax Saver Fund,5.0,Equity,ELSS Mutual Funds,8.0,33.0,10.9,15.39
Mirae Asset Overnight Fund,5.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.81
Mahindra Manulife Large & Mid Cap Fund,5.0,Equity,Large & Mid Cap Funds,-1.1,30.4,10.9,13.67
Bank of India Overnight Fund,5.0,Debt,Overnight Mutual Funds,5.5,4.0,10.9,10.77
ICICI Pru India Equity FOF – Direct Growth,5.0,Other,FoFs Domestic,4.9,32.2,10.9,11.45
Sundaram Large Cap Fund,5.0,Equity,Large Cap Mutual Funds,0.9,18.85,10.9,12.21
ITI Banking & PSU Debt Fund,5.0,Debt,Banking and PSU Mutual Funds,5.4,18.85,10.9,8.71
ITI Dynamic Bond Fund,5.0,Debt,Dynamic Bond,5.7,18.85,10.9,9.37
Bank of India Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,-1.0,47.7,10.9,13.45
Kotak Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,-0.7,43.1,17.0,13.33
Edelweiss Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,3.0,42.5,10.9,13.16
Nippon India Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,8.7,47.6,16.8,13.41
Tata Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,17.1,44.1,10.9,13.26
SBI Small Cap Fund,4.0,Equity,Small Cap Mutual Funds,8.2,38.3,15.3,13.25
SBI Magnum Midcap Fund,4.0,Equity,Mid Cap Mutual Funds,6.4,37.0,13.5,13.77
Kotak Emerging Equity Fund,4.0,Equity,Mid Cap Mutual Funds,6.6,34.0,15.2,13.8
Edelweiss Mid Cap Fund,4.0,Equity,Mid Cap Mutual Funds,4.9,35.5,14.0,13.8
Bank of India Tax Advantage Fund,4.0,Equity,ELSS Mutual Funds,0.9,29.0,13.2,13.45
Bank of India Manufacturing & Infrastr Fund,4.0,Equity,Sectoral / Thematic Mutual Funds,7.6,35.4,11.5,13.05
Nippon India Growth Fund,4.0,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5,13.82
Nippon India Growth Fund,4.0,Equity,Mid Cap Mutual Funds,5.6,32.4,14.5,13.82
Bank of India Mid & Small Cap Equity & Debt Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,-0.3,29.3,10.4,11.51
ICICI Pru Value Discovery Fund,4.0,Equity,Value Funds,8.9,36.9,14.9,13.6
Bandhan Tax Advantage (ELSS) Fund,4.0,Equity,ELSS Mutual Funds,3.0,37.1,13.0,13.45
SBI Consumption Opportunities Fund,4.0,Equity,Sectoral / Thematic Mutual Funds,11.1,31.0,12.7,12.98
ICICI Pru Multi-Asset Fund,4.0,Hybrid,Multi Asset Allocation Mutual Funds,11.3,31.3,14.2,12.62
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,4.0,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9,12.99
PGIM India Elss Tax Saver Fund,4.0,Equity,ELSS Mutual Funds,2.9,31.8,13.7,13.44
Canara Robeco Consumer Trends Fund,4.0,Equity,Sectoral / Thematic Mutual Funds,7.1,26.7,15.1,13.07
Edelweiss Large & Mid Cap Fund,4.0,Equity,Large & Mid Cap Funds,1.2,27.8,13.2,13.59
SBI Infrastructure Fund,4.0,Equity,Sectoral / Thematic Mutual Funds,12.8,33.5,13.0,13.01
DSP Tax Saver Fund,4.0,Equity,ELSS Mutual Funds,1.8,28.8,13.3,13.44
ICICI Pru Large & Mid Cap Fund,4.0,Equity,Large & Mid Cap Funds,9.5,33.2,13.7,13.65
Union Long Term Equity Fund,4.0,Equity,ELSS Mutual Funds,2.3,28.5,12.8,13.36
UTI-Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,-9.0,22.5,12.2,13.02
Sundaram Focused Fund,4.0,Equity,Focused Funds,-1.8,24.5,13.1,12.2
Union Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,0.6,27.7,12.9,13.11
Kotak Equity Opportunities – Direct Growth,4.0,Equity,Large & Mid Cap Funds,6.2,28.8,13.9,13.63
IDBI India Top 100 Equity Fund,4.0,Equity,Large Cap Mutual Funds,0.5,26.0,12.4,12.01
Canara Robeco Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,-0.9,24.8,13.8,13.02
Kotak Tax Saver Fund,4.0,Equity,ELSS Mutual Funds,5.0,28.9,14.4,13.43
ICICI Pru Focused Equity Fund,4.0,Equity,Focused Funds,6.1,31.2,13.4,12.34
AXIS Gold Fund,4.0,Other,FoFs Domestic,14.5,12.0,13.7,11.09
Invesco India Contra Fund,4.0,Equity,Contra Funds,2.8,27.6,12.3,13.21
Kotak India EQ Contra Fund,4.0,Equity,Contra Funds,7.3,29.7,14.2,13.28
Invesco India Gold Fund,4.0,Other,FoFs Domestic,13.2,11.5,13.2,11.06
UTI-Value Opportunities Fund,4.0,Equity,Value Funds,1.7,27.2,12.2,13.43
Tata Large & Mid Cap Fund,4.0,Equity,Large & Mid Cap Funds,8.8,33.5,14.0,13.67
Franklin India Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,3.8,31.1,12.0,13.12
JM Flexicap Fund,4.0,Equity,Flexi Cap Funds,5.2,30.7,13.8,13.15
Franklin India Focused Equity Fund,4.0,Equity,Focused Funds,5.1,30.9,12.9,12.28
Edelweiss Aggressive Hybrid Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,6.5,24.6,13.0,11.49
Mahindra Manulife Large Cap Fund,4.0,Equity,Large Cap Mutual Funds,0.3,25.7,10.9,12.01
AXIS Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,-8.3,17.9,12.3,12.93
Baroda BNP Paribas Large Cap Fund,4.0,Equity,Large Cap Mutual Funds,3.0,23.5,12.8,12.06
UTI-Mastershare – Direct Growth,4.0,Equity,Large Cap Mutual Funds,-2.0,24.2,11.5,12.0
Edelweiss Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2.9,18.5,12.0,11.04
HDFC Flexi Cap Fund,4.0,Equity,Flexi Cap Funds,12.4,34.5,14.0,13.12
Canara Robeco Equity Hybrid Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,1.8,20.1,12.2,11.42
Baroda BNP Paribas Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,3.7,19.8,10.9,11.05
ICICI Pru Bluechip Fund,4.0,Equity,Large Cap Mutual Funds,4.4,28.2,12.3,12.12
HDFC Multi-Asset Fund,4.0,Hybrid,Multi Asset Allocation Mutual Funds,6.9,23.0,10.9,12.06
Edelweiss Large Cap Fund,4.0,Equity,Large Cap Mutual Funds,4.9,26.0,12.8,12.06
AXIS Bluechip Fund,4.0,Equity,Large Cap Mutual Funds,-6.1,17.3,12.1,12.02
Invesco India Largecap Fund,4.0,Equity,Large Cap Mutual Funds,-1.8,24.0,11.1,12.0
Mirae Asset Hybrid – Equity Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2,11.43
ICICI Pru S&P BSE Sensex Index Fund,4.0,Other,Index Funds,1.4,25.8,12.9,12.41
HDFC Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,14.4,29.3,12.9,11.23
HDFC Retirement Savings Fund,4.0,Solution Oriented,Retirement Funds,8.0,24.5,12.3,10.76
Bandhan Nifty 50 Index Fund,4.0,Other,Index Funds,1.1,26.2,12.2,12.38
Nippon India Index Fund,4.0,Other,Index Funds,1.5,25.6,13.0,12.42
ICICI Pru Asset Allocator Fund,4.0,Other,FoFs Domestic,8.8,21.6,12.8,11.11
HDFC Index Fund,4.0,Other,Index Funds,2.4,25.8,12.8,12.43
Tata S&P BSE Sensex Index Fund,4.0,Other,Index Funds,2.4,25.1,12.8,12.37
Tata Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.8,18.7,10.9,10.93
Mahindra Manulife Equity Savings Fund,4.0,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3,11.03
Sundaram Aggressive Hybrid Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,1.2,21.7,9.7,11.45
Sundaram Equity Savings Fund,4.0,Hybrid,Equity Savings Mutual Funds,3.9,16.8,9.9,10.38
JM Equity Hybrid Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,8.0,29.5,11.2,11.45
HDFC Dynamic PE Ratio Fund,4.0,Other,FoFs Domestic,8.6,21.9,11.1,11.14
ICICI Pru Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6.7,19.7,10.4,11.01
Aditya Birla SL Balanced Advantage Fund,4.0,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4.5,18.6,9.7,10.95
SBI Magnum Children’s Benefit Fund,4.0,Solution Oriented,Childrens Funds,3.1,15.2,8.3,9.52
Sundaram Fin Serv Opportunities – Direct Growth,4.0,Equity,Sectoral / Thematic Mutual Funds,11.4,25.9,12.6,12.96
SBI Conservative Hybrid Fund,4.0,Hybrid,Conservative Hybrid Mutual Funds,6.2,13.8,8.8,8.55
Kotak Equity Savings Fund,4.0,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2,10.16
HDFC Equity Savings Fund,4.0,Hybrid,Equity Savings Mutual Funds,5.1,16.0,8.8,10.01
Aditya Birla SL FP FoF – Conservative – Direct Growth,4.0,Other,FoFs Domestic,4.7,13.3,8.2,10.89
UTI-Equity Savings Fund,4.0,Hybrid,Equity Savings Mutual Funds,6.1,14.7,10.9,10.23
Tata Banking & Financial Services Fund,4.0,Equity,Sectoral / Thematic Mutual Funds,11.9,23.2,12.6,12.96
Bank of India Conservative Hybrid Fund,4.0,Hybrid,Conservative Hybrid Mutual Funds,22.3,15.5,6.4,7.92
Taurus Banking & Financial Services-Direct Growth,4.0,Equity,Sectoral / Thematic Mutual Funds,9.0,21.9,11.9,12.98
DSP G-Sec Fund,4.0,Debt,Gilt Mutual Funds,4.4,5.9,8.6,8.33
ICICI Pru Credit Risk Fund,4.0,Debt,Credit Risk Funds,5.8,8.0,8.1,5.79
HDFC Retirement Savings Fund,4.0,Solution Oriented,Retirement Funds,6.0,10.3,7.8,9.92
AXIS Gilt Fund,4.0,Debt,Gilt Mutual Funds,4.0,5.9,7.9,8.08
SBI Magnum Income Fund,4.0,Debt,Medium to Long Duration Funds,4.8,6.9,7.8,7.78
SBI Magnum Medium Duration Fund,4.0,Debt,Medium Duration Funds,4.6,7.2,7.9,8.48
ICICI Pru Medium Term Bond Fund,4.0,Debt,Medium Duration Funds,5.6,7.7,7.6,8.4
Kotak Gilt – Invest Plan – Direct Growth,4.0,Debt,Gilt Mutual Funds,5.2,6.3,8.4,8.3
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,4.0,Debt,Gilt Mutual Funds,5.2,6.3,8.4,8.3
Baroda BNP Paribas Conservative Hybrid Fund,4.0,Hybrid,Conservative Hybrid Mutual Funds,3.7,9.2,7.7,8.48
Aditya Birla SL Income Fund,4.0,Debt,Medium to Long Duration Funds,3.5,7.1,7.7,7.79
ICICI Pru Short Term Fund,4.0,Debt,Short Duration Funds,6.4,7.5,7.7,7.72
SBI Dynamic Bond Fund,4.0,Debt,Dynamic Bond,5.9,5.9,7.9,7.63
Kotak Dynamic Bond Fund,4.0,Debt,Dynamic Bond,3.9,6.6,7.8,7.3
Sundaram Corporate Bond Fund,4.0,Debt,Corporate Bond Mutual Funds,4.5,6.8,7.3,7.22
Nippon India Banking & PSU Debt Fund,4.0,Debt,Banking and PSU Mutual Funds,4.2,6.9,7.4,7.49
Aditya Birla SL Short Term Fund,4.0,Debt,Short Duration Funds,5.5,7.8,7.6,7.63
HDFC Dynamic Debt Fund,4.0,Debt,Dynamic Bond,4.6,7.3,6.1,7.14
PGIM India Corporate Bond Fund,4.0,Debt,Corporate Bond Mutual Funds,4.3,6.8,6.9,7.23
Aditya Birla SL Banking&PSU Debt Fund,4.0,Debt,Banking and PSU Mutual Funds,4.5,6.8,7.3,7.31
Nippon India Income Fund,4.0,Debt,Medium to Long Duration Funds,6.0,5.8,7.9,7.89
Nippon India Short Term Fund,4.0,Debt,Short Duration Funds,4.3,6.7,7.2,7.33
Aditya Birla SL Corporate Bond Fund,4.0,Debt,Corporate Bond Mutual Funds,4.9,7.1,7.4,7.3
HDFC Banking and PSU Debt Fund,4.0,Debt,Banking and PSU Mutual Funds,4.3,6.8,7.2,7.3
AXIS Short Term Fund,4.0,Debt,Short Duration Funds,4.9,6.9,7.4,7.44
AXIS Banking & PSU Debt Fund,4.0,Debt,Banking and PSU Mutual Funds,4.5,6.4,7.2,7.34
AXIS Strategic Bond Fund,4.0,Debt,Medium Duration Funds,5.2,7.4,7.4,8.4
Kotak Medium Term Fund,4.0,Debt,Medium Duration Funds,4.0,7.0,6.6,8.18
HDFC Floating Rate Debt Fund,4.0,Debt,Floater Mutual Funds,5.6,6.5,6.9,7.83
Aditya Birla SL Low Duration Fund,4.0,Debt,Low Duration Funds,5.7,6.5,7.0,6.73
ICICI Pru Debt Management Fund,4.0,Other,FoFs Domestic,5.8,6.7,7.0,10.43
IDBI Short Term Bond Fund,4.0,Debt,Short Duration Funds,4.1,9.4,6.9,7.44
IIFL Dynamic Bond Fund,4.0,Debt,Dynamic Bond,3.3,6.0,6.5,7.21
HDFC Low Duration Fund,4.0,Debt,Low Duration Funds,5.4,6.2,6.7,6.58
Aditya Birla SL Credit Risk Fund,4.0,Debt,Credit Risk Funds,8.7,9.0,7.2,5.57
AXIS Credit Risk Fund,4.0,Debt,Credit Risk Funds,5.4,7.4,6.8,5.62
ICICI Pru Ultra Short Term Fund,4.0,Debt,Ultra Short Duration Funds,5.7,5.9,6.7,8.93
AXIS Treasury Advantage Fund,4.0,Debt,Low Duration Funds,5.3,5.9,6.6,6.57
Nippon India Low Duration Fund,4.0,Debt,Low Duration Funds,5.3,6.2,6.5,6.58
Aditya Birla SL Savings Fund,4.0,Debt,Ultra Short Duration Funds,5.5,5.8,6.5,8.91
Franklin India Floating Rate Fund,4.0,Debt,Floater Mutual Funds,5.8,5.6,6.2,8.02
Aditya Birla SL Money Manager Fund,4.0,Debt,Money Market Funds,5.6,5.6,6.4,8.26
AXIS Ultra Short Term Fund,4.0,Debt,Ultra Short Duration Funds,5.7,5.4,10.9,9.34
HDFC Ultra Short Term Fund,4.0,Debt,Ultra Short Duration Funds,5.4,5.5,10.9,9.36
JM Dynamic Bond Fund,4.0,Debt,Dynamic Bond,4.8,6.0,6.1,7.21
UTI-Money Market Fund,4.0,Debt,Money Market Funds,5.6,5.3,6.2,8.22
Tata Ultra Short Term Fund,4.0,Debt,Ultra Short Duration Funds,5.5,5.1,10.9,9.39
AXIS Arbitrage Fund,4.0,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.6,5.8
Nippon India Arbitrage Fund,4.0,Hybrid,Arbitrage Mutual Funds,5.6,4.9,5.7,5.94
HSBC Arbitrage Fund,4.0,Hybrid,Arbitrage Mutual Funds,5.4,4.7,5.5,5.77
Kotak Equity Arbitrage Fund,4.0,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6,5.98
IDBI Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.6,4.4,5.4,5.06
JM Low Duration Fund,4.0,Debt,Low Duration Funds,5.1,11.5,5.3,6.15
Edelweiss Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.6,4.4,5.4,5.06
Aditya Birla SL Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.7,4.4,5.4,5.07
Union Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.7,4.4,4.6,5.06
AXIS Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.7,4.3,5.4,5.05
UTI-Liquid – Cash Plan – Direct Growth,4.0,Debt,Liquid Mutual Funds,5.7,4.4,5.3,5.06
Bank of India Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.7,4.3,5.3,5.04
JM Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.6,4.2,5.3,5.04
Sundaram Liquid Fund,4.0,Debt,Liquid Mutual Funds,5.7,4.2,3.3,5.05
DSP Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
Nippon India Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
AXIS Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
Tata Medium Term Fund,4.0,Debt,Medium Duration Funds,1.7,32.4,13.3,9.16
UTI-Credit Risk Fund,4.0,Debt,Credit Risk Funds,5.0,8.3,-0.9,5.08
Mirae Asset Focused Fund,4.0,Equity,Focused Funds,-4.9,28.4,10.9,12.18
Mirae Asset Midcap Fund,4.0,Equity,Mid Cap Mutual Funds,1.2,35.0,10.9,13.64
Mahindra Manulife Aggressive Hybrid Fund,4.0,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,10.9,11.45
Union Focused Fund,4.0,Equity,Focused Funds,-0.1,26.2,10.9,12.19
LIC MF Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
Mahindra Manulife Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
AXIS Money Market Fund,4.0,Debt,Money Market Funds,5.6,5.4,10.9,8.78
PGIM India Overnight Fund,4.0,Debt,Overnight Mutual Funds,5.4,3.9,10.9,10.9
Mahindra Manulife Ultra Short Duration Fund,4.0,Debt,Ultra Short Duration Funds,5.5,5.1,10.9,9.39
Motilal Oswal Nifty 50 Index Fund,4.0,Other,Index Funds,0.1,26.0,10.9,12.27
AXIS All Seasons Debt Fund,4.0,Other,FoFs Domestic,4.7,6.2,10.9,10.96
Bandhan Emerging Businesses Fund,4.0,Equity,Small Cap Mutual Funds,-1.5,34.1,10.9,13.16
PGIM India Money Market Fund,4.0,Debt,Money Market Funds,5.7,5.1,10.9,8.78
Tata Floating Rate Fund,4.0,Debt,Floater Mutual Funds,5.6,18.85,10.9,8.74
Union Small Cap Fund,3.0,Equity,Small Cap Mutual Funds,-0.1,37.1,12.8,11.49
ICICI Pru Smallcap Fund,3.0,Equity,Small Cap Mutual Funds,7.7,41.8,14.9,11.48
Invesco India Smallcap Fund,3.0,Equity,Small Cap Mutual Funds,3.5,34.6,10.9,11.49
Mahindra Manulife Mid Cap Fund,3.0,Equity,Mid Cap Mutual Funds,3.7,31.0,14.7,12.08
IDBI Small Cap Fund,3.0,Equity,Small Cap Mutual Funds,2.1,38.5,12.6,11.49
AXIS Growth Opportunities Fund,3.0,Equity,Large & Mid Cap Funds,-6.4,26.5,10.9,11.59
Baroda BNP Paribas Mid Cap Fund,3.0,Equity,Mid Cap Mutual Funds,2.4,30.6,13.6,12.09
HSBC Small Cap Fund,3.0,Equity,Small Cap Mutual Funds,5.1,44.7,12.7,11.49
UTI-Mid Cap Fund,3.0,Equity,Mid Cap Mutual Funds,0.4,31.1,11.4,12.09
Invesco India Midcap Fund,3.0,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6,12.08
Bandhan Sterling Value Fund,3.0,Equity,Value Funds,5.5,41.6,12.0,11.32
Tata Mid Cap Growth Fund,3.0,Equity,Mid Cap Mutual Funds,1.3,29.2,13.5,12.09
Canara Robeco Infrastructure – Direct Growth,3.0,Equity,Sectoral / Thematic Mutual Funds,13.7,34.9,12.2,11.29
Baroda BNP Paribas India Consumption Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,5.2,23.3,10.9,11.29
Tata Infrastructure Fund,3.0,Equity,Sectoral / Thematic Mutual Funds,14.0,35.0,13.1,11.29
